Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0120737,2017-08-15,2017-08-15,,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,movie,8.8,178,2001,"Action, Adventure, Drama, Fantasy",1958038,2001-12-10,Peter Jackson
2,tt0167260,2017-08-15,2017-08-15,,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,movie,9.0,201,2003,"Action, Adventure, Drama, Fantasy",1931067,2003-12-01,Peter Jackson
3,tt0167261,2017-08-15,2017-08-15,,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/,movie,8.8,179,2002,"Action, Adventure, Drama, Fantasy",1741218,2002-12-05,Peter Jackson
4,tt0944947,2017-08-15,2017-08-15,,Game of Thrones,https://www.imdb.com/title/tt0944947/,tvSeries,9.2,4189,2011,"Action, Adventure, Drama, Fantasy",2222585,2011-04-16,
5,tt0013442,2020-04-18,2020-04-18,,"Nosferatu, eine Symphonie des Grauens",https://www.imdb.com/title/tt0013442/,movie,7.9,94,1922,"Fantasy, Horror",103314,1922-02-16,F.W. Murnau
6,tt0093779,2017-08-15,2017-08-15,,The Princess Bride,https://www.imdb.com/title/tt0093779/,movie,8.0,98,1987,"Adventure, Comedy, Family, Fantasy, Romance",443227,1987-09-18,Rob Reiner
7,tt0082198,2017-08-15,2017-08-15,,Conan the Barbarian,https://www.imdb.com/title/tt0082198/,movie,6.9,129,1982,"Action, Adventure, Fantasy",159118,1982-03-16,John Milius
8,tt0091369,2017-08-15,2017-08-15,,Labyrinth,https://www.imdb.com/title/tt0091369/,movie,7.3,101,1986,"Adventure, Family, Fantasy, Musical",146132,1986-06-27,Jim Henson
9,tt0096446,2017-08-15,2017-08-15,,Willow,https://www.imdb.com/title/tt0096446/,movie,7.2,126,1988,"Action, Adventure, Drama, Fantasy, Romance",128230,1988-05-20,Ron Howard
10,tt0083791,2017-08-15,2017-08-15,,The Dark Crystal,https://www.imdb.com/title/tt0083791/,movie,7.1,93,1982,"Adventure, Family, Fantasy",70310,1982-12-17,"Frank Oz, Jim Henson"
11,tt0130414,2017-08-15,2017-08-15,,Merlin,https://www.imdb.com/title/tt0130414/,tvMiniSeries,7.1,182,1998,"Action, Adventure, Drama, Fantasy, Romance",22196,1998-04-26,
12,tt0120889,2020-04-24,2020-04-24,,What Dreams May Come,https://www.imdb.com/title/tt0120889/,movie,7.0,113,1998,"Drama, Fantasy, Romance",112850,1998-09-28,Vincent Ward
13,tt0499448,2017-08-15,2017-08-15,,The Chronicles of Narnia: Prince Caspian,https://www.imdb.com/title/tt0499448/,movie,6.5,150,2008,"Action, Adventure, Family, Fantasy",221028,2008-05-09,Andrew Adamson
14,tt1972591,2017-08-15,2017-08-15,,King Arthur: Legend of the Sword,https://www.imdb.com/title/tt1972591/,movie,6.7,126,2017,"Action, Adventure, Drama, Fantasy",227939,2017-04-27,Guy Ritchie
15,tt0363771,2017-08-15,2017-08-15,,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",https://www.imdb.com/title/tt0363771/,movie,6.9,143,2005,"Adventure, Family, Fantasy",418079,2005-12-07,Andrew Adamson
16,tt1201607,2017-08-21,2017-08-21,,Harry Potter and the Deathly Hallows - Part 2,https://www.imdb.com/title/tt1201607/,movie,8.1,130,2011,"Adventure, Family, Fantasy, Mystery",924407,2011-07-07,David Yates
17,tt0304141,2017-08-21,2017-08-21,,Harry Potter and the Prisoner of Azkaban,https://www.imdb.com/title/tt0304141/,movie,7.9,142,2004,"Adventure, Family, Fantasy, Mystery",672474,2004-05-23,Alfonso Cuarón
18,tt0903624,2017-08-15,2017-08-15,,The Hobbit: An Unexpected Journey,https://www.imdb.com/title/tt0903624/,movie,7.8,169,2012,"Adventure, Fantasy",857180,2012-11-28,Peter Jackson
19,tt0926084,2017-08-21,2017-08-21,,Harry Potter and the Deathly Hallows - Part 1,https://www.imdb.com/title/tt0926084/,movie,7.7,146,2010,"Adventure, Family, Fantasy, Mystery",582723,2010-11-11,David Yates
