Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0075314,2017-12-10,2022-12-31,"Robert De Niro as Travis Bickle: 
""Loneliness has followed me my whole life. Everywhere. In bars, in cars, sidewalks, stores, everywhere. There's no escape. I'm God's lonely man..."" ",Taxi Driver,https://www.imdb.com/title/tt0075314/,movie,8.2,114,1976,"Crime, Drama",894205,1976-02-08,Martin Scorsese
2,tt0068762,2017-12-10,2023-01-02,"Robert Redford as Jeremiah Johnson.

Jeremiah Johnson lyrics by John Rubenstein and Tim McIntire:

""Jeremiah Johnson made his way into the mountains, bettin' on forgettin' all the troubles that he knew.
The trail was wide and narrow, the eagle or the sparrow
showed the path he was to follow, as it flew.
A mountain man is a lonely man and he leaves a lot behind.
It ought to have been different, but you often times will find,  that the story doesn't always go the way you had in mind.
Jeremiah's story was that kind
Jeremiah's story was that kind... """,Jeremiah Johnson,https://www.imdb.com/title/tt0068762/,movie,7.6,108,1972,"Adventure, Drama, Western",34209,1972-05-07,Sydney Pollack
3,tt0137523,2017-12-10,2017-12-10,"Edward Norton as The Narrator:
""Everywhere I travel, tiny life. Single-serving sugar, single-serving cream, single pat of butter. The microwave Cordon Bleu hobby kit. Shampoo-conditioner combos, sample-packaged mouthwash, tiny bars of soap. The people I meet on each flight? They're single-serving friends.""",Fight Club,https://www.imdb.com/title/tt0137523/,movie,8.8,139,1999,Drama,2254976,1999-09-10,David Fincher
4,tt0071360,2017-12-10,2017-12-10,"Gene Hackman as Harry Caul.

[Harry Caul listening to a couple's conversation about a bum on a park bench]
Ann: ""Every time I see one of those guys, I always think the same thing.""
Mark: ""What do you think?""
Ann: ""I always think that he was once somebody's baby boy. Really, I do. I think he was once somebody's baby boy, and he had a mother and a father who loved him, and now there he is, half dead on a park bench, and where are his mother or his father, all his uncles now?""",The Conversation,https://www.imdb.com/title/tt0071360/,movie,7.8,113,1974,"Drama, Mystery, Thriller",118312,1974-04-07,Francis Ford Coppola
5,tt0045274,2017-12-10,2017-12-10,"Carlo Battisti as Umberto Domenico Ferrari: 
""I have no one, no son or brother, to help me out. I'm just a good for nothing old man. Who can live on 18,000 lire these days? My landlady charges me 10,000. She even raised my rent, that old... """,Umberto D.,https://www.imdb.com/title/tt0045274/,movie,8.2,89,1952,Drama,27523,1952-01-10,Vittorio De Sica
6,tt0265459,2017-12-10,2017-12-10,"Robin Williams as Seymour Parrish:
""And if these pictures have anything important to say to future generations, it's this: I was here. I existed. I was young, I was happy, and someone cared enough about me in this world to take my picture.""",One Hour Photo,https://www.imdb.com/title/tt0265459/,movie,6.8,96,2002,"Drama, Thriller",129867,2002-01-13,Mark Romanek
7,tt0243133,2017-12-10,2022-11-22,"Billy Bob Thornton as Ed Crane:
""I was a ghost. I didn't see anyone. No one saw me. I was the barber.""",The Man Who Wasn't There,https://www.imdb.com/title/tt0243133/,movie,7.5,116,2001,"Crime, Drama",113561,2001-05-13,Joel Coen
8,tt0378793,2017-12-10,2017-12-10,"Kristen Stewart as Melinda Sordino:
""There is no point talking to my ex-friends. Our clan the plain Janes has been absorbed by rival groups. Nicole hangs out with the jocks. Rachel went all Euro. Ivy straddles two crowds: the Goths and the Marthas. And then there's me. I'm clanless.""",Speak,https://www.imdb.com/title/tt0378793/,movie,7.2,89,2004,Drama,28840,2004-01-20,Jessica Sharzer
9,tt0110638,2017-12-10,2017-12-10,"Jodie Foster as Nell.

Jerry: ""It's like... there's no one else in the world. Like she doesn't need anybody. Can you live your whole life that way, or does it drive you crazy in the end?""",Nell,https://www.imdb.com/title/tt0110638/,movie,6.5,112,1994,Drama,30370,1994-12-14,Michael Apted
10,tt0758758,2017-12-10,2017-12-10,"Emile Hirsch as Chris McCandless:
""Some people feel like they don't deserve love. They walk away quietly into empty spaces, trying to close the gaps of the past.""",Into the Wild,https://www.imdb.com/title/tt0758758/,movie,8.1,148,2007,"Adventure, Biography, Drama",646643,2007-09-01,Sean Penn
