Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1448754,2023-11-17,2023-11-17,,Thanksgiving,https://www.imdb.com/title/tt1448754/,movie,7.1,107,2023,"Horror, Mystery, Thriller",776,2023-11-04,Eli Roth
2,tt16300962,2023-10-17,2023-10-17,,Cuando acecha la maldad,https://www.imdb.com/title/tt16300962/,movie,7.0,99,2023,Horror,11104,2023-09-13,Demián Rugna
3,tt21807222,2023-09-30,2023-09-30,,Saw X,https://www.imdb.com/title/tt21807222/,movie,6.7,118,2023,"Horror, Mystery, Thriller",51973,2023-09-25,Kevin Greutert
4,tt9048804,2023-09-03,2023-09-03,,Birth/Rebirth,https://www.imdb.com/title/tt9048804/,movie,6.2,98,2023,"Drama, Horror, Thriller",3421,2023-01-20,Laura Moss
5,tt13345606,2023-04-19,2023-04-19,,Evil Dead Rise,https://www.imdb.com/title/tt13345606/,movie,6.5,96,2023,Horror,124018,2023-03-15,Lee Cronin
6,tt21113540,2023-09-23,2023-09-23,,El Conde,https://www.imdb.com/title/tt21113540/,movie,6.5,110,2023,"Comedy, Fantasy, History, Horror",6626,2023-08-31,Pablo Larraín
7,tt13521006,2023-04-23,2023-04-23,,Beau Is Afraid,https://www.imdb.com/title/tt13521006/,movie,6.8,179,2023,"Comedy, Drama, Horror",45999,2023-04-01,Ari Aster
8,tt10365998,2023-01-26,2023-01-26,,Infinity Pool,https://www.imdb.com/title/tt10365998/,movie,6.0,117,2023,"Crime, Horror, Mystery, Sci-Fi, Thriller",46126,2023-01-21,Brandon Cronenberg
9,tt17663992,2023-03-10,2023-03-10,,Scream VI,https://www.imdb.com/title/tt17663992/,movie,6.5,122,2023,"Horror, Mystery, Thriller",109806,2023-03-08,"Matt Bettinelli-Olpin, Tyler Gillett"
10,tt13560574,2022-03-17,2022-03-17,,X,https://www.imdb.com/title/tt13560574/,movie,6.6,105,2022,"Horror, Mystery, Thriller",152553,2022-03-13,Ti West
11,tt18925334,2022-09-20,2022-09-20,,Pearl,https://www.imdb.com/title/tt18925334/,movie,7.0,103,2022,"Drama, Horror, Thriller",79815,2022-09-03,Ti West
12,tt10638522,2023-07-26,2023-07-26,,Talk to Me,https://www.imdb.com/title/tt10638522/,movie,7.1,95,2022,"Horror, Thriller",100580,2022-10-30,"Michael Philippou, Danny Philippou"
13,tt8760708,2023-01-08,2023-01-08,,M3GAN,https://www.imdb.com/title/tt8760708/,movie,6.4,102,2022,"Horror, Sci-Fi, Thriller",131547,2022-12-07,Gerard Johnstone
14,tt15791034,2022-09-08,2022-09-08,,Barbarian,https://www.imdb.com/title/tt15791034/,movie,7.0,102,2022,"Horror, Mystery, Thriller",166362,2022-08-29,Zach Cregger
15,tt15474916,2022-10-04,2022-11-08,,Smile,https://www.imdb.com/title/tt15474916/,movie,6.5,115,2022,"Horror, Mystery, Thriller",145985,2022-09-22,Parker Finn
16,tt9764362,2022-11-21,2022-11-21,,The Menu,https://www.imdb.com/title/tt9764362/,movie,7.2,107,2022,"Comedy, Horror, Thriller",360414,2022-09-10,Mark Mylod
17,tt10168670,2022-11-20,2022-11-20,,Bones and All,https://www.imdb.com/title/tt10168670/,movie,6.8,131,2022,"Drama, Horror, Romance",52211,2022-09-02,Luca Guadagnino
18,tt12788488,2022-12-07,2022-12-07,,Deadstream,https://www.imdb.com/title/tt12788488/,movie,6.4,87,2022,"Comedy, Horror",15765,2022-03-11,"Joseph Winter, Vanessa Winter"
19,tt10399608,2022-10-25,2022-10-25,,Cerdita,https://www.imdb.com/title/tt10399608/,movie,6.2,99,2022,"Drama, Horror, Thriller",11674,2022-01-25,Carlota Pereda
20,tt10403420,2022-10-27,2022-10-27,,Terrifier 2,https://www.imdb.com/title/tt10403420/,movie,6.1,138,2022,Horror,43021,2022-08-29,Damien Leone
21,tt14557188,2022-11-17,2022-11-17,,Soft & Quiet,https://www.imdb.com/title/tt14557188/,movie,6.2,92,2022,"Drama, Horror, Thriller",8925,2022-03-12,Beth de Araújo
22,tt14549466,2022-06-02,2022-06-02,,Crimes of the Future,https://www.imdb.com/title/tt14549466/,movie,5.8,107,2022,"Drama, Horror, Sci-Fi",38459,2022-05-23,David Cronenberg
