Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1355644,2017-06-19,2017-06-19,,Passengers,https://www.imdb.com/title/tt1355644/,movie,7.0,116,2016,"Drama, Romance, Sci-Fi, Thriller",433427,2016-12-14,Morten Tyldum
2,tt0120338,2016-07-10,2016-07-10,,Titanic,https://www.imdb.com/title/tt0120338/,movie,7.9,194,1997,"Drama, Romance",1253298,1997-11-01,James Cameron
3,tt0109830,2016-07-10,2016-07-10,,Forrest Gump,https://www.imdb.com/title/tt0109830/,movie,8.8,142,1994,"Drama, Romance",2196251,1994-06-23,Robert Zemeckis
4,tt0211915,2016-07-10,2016-07-10,,Le fabuleux destin d'Amélie Poulain,https://www.imdb.com/title/tt0211915/,movie,8.3,122,2001,"Comedy, Romance",782080,2001-04-25,Jean-Pierre Jeunet
5,tt0338013,2016-07-10,2016-07-10,,Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/,movie,8.3,108,2004,"Drama, Romance, Sci-Fi",1053153,2004-03-09,Michel Gondry
6,tt0093779,2016-07-10,2016-07-10,,The Princess Bride,https://www.imdb.com/title/tt0093779/,movie,8.0,98,1987,"Adventure, Comedy, Family, Fantasy, Romance",443232,1987-09-18,Rob Reiner
7,tt0112471,2016-07-10,2016-07-10,,Before Sunrise,https://www.imdb.com/title/tt0112471/,movie,8.1,101,1995,"Drama, Romance",330381,1995-01-19,Richard Linklater
8,tt0107048,2016-07-10,2016-07-10,,Groundhog Day,https://www.imdb.com/title/tt0107048/,movie,8.0,101,1993,"Comedy, Drama, Fantasy, Romance",667156,1993-02-02,Harold Ramis
9,tt0381681,2016-07-10,2016-07-10,,Before Sunset,https://www.imdb.com/title/tt0381681/,movie,8.1,80,2004,"Drama, Romance",281338,2004-02-10,Richard Linklater
10,tt0059742,2016-07-10,2016-07-10,,The Sound of Music,https://www.imdb.com/title/tt0059742/,movie,8.1,172,1965,"Biography, Drama, Family, Musical, Romance",251409,1965-03-02,Robert Wise
11,tt1798709,2016-07-10,2016-07-10,,Her,https://www.imdb.com/title/tt1798709/,movie,8.0,126,2013,"Drama, Romance, Sci-Fi",652108,2013-10-12,Spike Jonze
12,tt2209418,2016-07-10,2016-07-10,,Before Midnight,https://www.imdb.com/title/tt2209418/,movie,7.9,109,2013,"Drama, Romance",168629,2013-01-20,Richard Linklater
13,tt0907657,2016-07-10,2016-07-10,,Once,https://www.imdb.com/title/tt0907657/,movie,7.8,86,2007,"Drama, Music, Romance",120127,2007-01-20,John Carney
14,tt0332280,2016-07-10,2016-07-10,,The Notebook,https://www.imdb.com/title/tt0332280/,movie,7.8,123,2004,"Drama, Romance",602891,2004-05-20,Nick Cassavetes
15,tt0190332,2016-07-10,2016-07-10,,Wo hu cang long,https://www.imdb.com/title/tt0190332/,movie,7.9,120,2000,"Action, Adventure, Drama, Fantasy, Romance",278467,2000-05-18,Ang Lee
16,tt0420332,2016-07-10,2016-07-10,,Veer-Zaara,https://www.imdb.com/title/tt0420332/,movie,7.8,192,2004,"Drama, Family, Musical, Romance",56070,2004-11-12,Yash Chopra
17,tt2582846,2016-07-10,2016-07-10,,The Fault in Our Stars,https://www.imdb.com/title/tt2582846/,movie,7.7,126,2014,"Drama, Romance",394499,2014-05-16,Josh Boone
18,tt2194499,2016-07-10,2016-07-10,,About Time,https://www.imdb.com/title/tt2194499/,movie,7.8,123,2013,"Comedy, Drama, Fantasy, Romance, Sci-Fi",374960,2013-06-27,Richard Curtis
19,tt0377752,2016-07-10,2016-07-10,,Dear Frankie,https://www.imdb.com/title/tt0377752/,movie,7.7,105,2004,"Drama, Romance",22332,2004-05-04,Shona Auerbach
20,tt0414387,2016-07-10,2016-07-10,,Pride & Prejudice,https://www.imdb.com/title/tt0414387/,movie,7.8,129,2005,"Drama, Romance",320138,2005-07-25,Joe Wright
21,tt1748122,2016-07-10,2016-07-10,,Moonrise Kingdom,https://www.imdb.com/title/tt1748122/,movie,7.8,94,2012,"Comedy, Drama, Family, Romance",362963,2012-05-16,Wes Anderson
22,tt0111797,2016-07-10,2016-07-10,,Yin shi nan nu,https://www.imdb.com/title/tt0111797/,movie,7.8,124,1994,"Comedy, Drama, Romance",22686,1994-05-13,Ang Lee
